,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
Có bất kỳ loại thuế nào áp dụng cho tài khoản này không?,Zakat và các loại thuế được áp dụng theo quy định của pháp luật.
Tỷ lệ Mark-up hiện tại của Ask Fauri Business Finance là bao nhiêu?,"AFBF-1: 3MK /COD +1.50%, AFBF-2: 12 MK /COD +2.0%, AFBF-3: Theo SOC, AFBF-4: Theo SOC."
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,AIF 1 & AIF 2: Tối thiểu 30% (Doanh nghiệp hiện hữu) & Tối thiểu 40% (Doanh nghiệp mới). AIF 3 & AIF 4: Không yêu cầu đối với Doanh nghiệp hiện hữu & Tối thiểu 25% (Doanh nghiệp mới).
Thời hạn tối đa của Tài chính Lúa gạo NUST là bao lâu?,"Tài chính Tiền mặt: Tối đa 270 ngày hoặc theo hành lang dọn dẹp tùy theo điều kiện nào đến trước, Tài chính Hoạt động: Một năm."
Có tài khoản nào mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm dài hạn của tôi không?,"Có, Tài khoản NUST Maximiser được thiết kế để đáp ứng các nhu cầu ngân hàng cơ bản của bạn và mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm."
Tiêu chí Đủ điều kiện cho thực thể kinh doanh trong Ask Fauri Business Finance là gì?,Tất cả trừ cá nhân.
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Thị trường mục tiêu của Tài khoản Số Asaan của NUST là gì?,Tài khoản Số Asaan của NUST được thiết kế đặc biệt cho các phân khúc khách hàng không có tài khoản ngân hàng / ít sử dụng ngân hàng. Tài khoản này phù hợp nhất nhưng không giới hạn cho lực lượng lao động có tay nghề/không có tay nghề.
Các dịch vụ miễn phí có sẵn tại ASDA là gì?,"Bảng sao kê điện tử & Ngân hàng trực tuyến miễn phí, Gửi tiền/Rút tiền mặt trực tuyến miễn phí giữa các chi nhánh (Trực tuyến), Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến), Phát hành Séc ngân hàng miễn phí, Cảnh báo SMS miễn phí về Giao dịch Kỹ thuật số."
Người Pakistan ở nước ngoài có thể nhận được khoản Tài chính Cá nhân từ NUST không?,"Không, việc ứng viên và người sử dụng lao động của họ phải có mặt tại Pakistan là bắt buộc để đăng ký Khoản vay Cá nhân không thế chấp."
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Có phạt phí rút tiền trước hạn trong Tiền gửi có kỳ hạn NUST Maximiser không?,"Việc rút tiền Tiền gửi có kỳ hạn NUST Maximiser trước ngày đáo hạn sẽ chịu phí phạt rút tiền trước hạn như sau: Số tiền gốc x 1,5% mỗi năm cho khoảng thời gian còn lại của Tiền gửi có kỳ hạn. (Ví dụ: nếu một giao dịch được đặt kỳ hạn 5 năm nhưng rút sau 2 năm – mức phí phạt sẽ là 4,5% x Số tiền gốc). Mức phí phạt tối thiểu là 1,5% số tiền gốc. Số tiền phạt sẽ chỉ trong phạm vi lợi nhuận đã trả/ có thể trả."
Các tính năng chính của Tài khoản Little Champs là gì?,"• Số tiền gửi ban đầu tối thiểu: 100 Rs
• Tài khoản Tiết kiệm Little Champs
• Miễn phí sổ séc đầu tiên* (Chỉ dành cho Tài khoản Vãng lai)
• Miễn phí thẻ ghi nợ* (áp dụng phí thường niên/phí thay thế)
• Chi trả lợi nhuận: Nửa năm một lần
• Tỷ lệ lợi nhuận: 0.19
• Hạn mức chuyển tiền hàng ngày: 100.000 Rs
• Hạn mức rút ATM hàng ngày: 25.000 Rs
• Hạn mức POS hàng ngày: 50.000 Rs"
Hạn mức cho vay của NUST Rice Finance là gì?,"Doanh nghiệp vừa và lớn (ME): Lên đến 200 triệu Rupees (Tối đa), Doanh nghiệp siêu nhỏ và nhỏ (SE): Lên đến 25 triệu Rupees (Tối đa)."
Có thời gian ân hạn nào được cho phép trong bất kỳ khoản tài trợ nào không?,Thời gian ân hạn 3 tháng được cho phép đối với AFBF-2 (Chỉ cho vay trung và dài hạn).
Các lợi ích miễn phí của Tài khoản Số NUST Freelancer là gì?,"Phát hành miễn phí sổ séc đầu tiên (10 tờ), Phát hành miễn phí lần đầu Thẻ Ghi nợ UnionPay, Giao sổ séc và thẻ ghi nợ đầu tiên miễn phí, Dịch vụ cảnh báo SMS miễn phí (Giao dịch số), Bảo hiểm/Takaful tử vong và thương tật do tai nạn miễn phí lên đến 2,5 triệu PKR với số dư trung bình hàng tháng là 100,000 PKR."
Các khoản phí áp dụng cho Chương trình Tài chính Hunarmand của NUST là gì?,Áp dụng theo quy định của PMYB & ALS.
Các khoản phí dịch vụ/tài liệu/pháp lý trong Ask Fauri Business Finance là gì?,Theo thực tế.
Tôi có thể sử dụng Cơ sở Vay nếu có các khoản vỡ nợ từ khoản vay trước đó không?,Không. Việc thanh toán đều đặn các khoản vay trước đó là điều cần thiết.
Người nộp đơn có thể vay tín chấp tại NUST Sahar Finance không?,Có thể vay tối đa 0.70 triệu Rs với sự bảo lãnh của cá nhân và bên thứ ba.
Các tiện ích miễn phí đi kèm với Tài khoản Kỹ thuật số Roshan là gì?,Phát hành thẻ ghi nợ lần đầu miễn phí (phí thường niên theo Biểu phí hiện hành - SOC). Dịch vụ ngân hàng trực tuyến I-Net miễn phí. Bản sao kê điện tử miễn phí.
Tỷ lệ Mark-up hiện tại của Tài chính Nhà máy Bột mì NUST là bao nhiêu?,"Tài chính Tiền mặt: KIBOR trung bình 3 tháng + 3% mỗi năm. Tài chính Hoạt động: KIBOR trung bình 3 tháng + 3,5% mỗi năm (Được xem xét/điều chỉnh theo quý)."
Thị trường mục tiêu là gì?,Cá nhân điều hành một doanh nghiệp dịch vụ tự do
Thông tin quan trọng khác về các gói bảo hiểm EFU,"- Chỉ có Gói Giáo dục và Hôn nhân là gói kỳ hạn có Lợi ích Tiếp tục (trong trường hợp tử vong, khoản thanh toán sẽ được thực hiện khi đáo hạn)
- Gói Phí đơn lần có thể chấm dứt bất cứ lúc nào, trong trường hợp tử vong, Giá trị Hoàn lại hoặc Số tiền Bảo hiểm, tùy theo giá trị nào cao hơn, sẽ được chi trả
- Có sẵn các phương thức Thanh toán Phí bảo hiểm Hàng năm / Nửa năm / Quý theo sự thuận tiện của khách hàng
- Gói Tăng trưởng Mạnh là gói rủi ro cao, phụ thuộc vào hồ sơ khách hàng
- Các Khiếu nại Tử vong sẽ do EFU xử lý với điều kiện hoàn tất các tài liệu theo yêu cầu và chỉ được chấp nhận nếu tình trạng hợp đồng là Đang hoạt động, Đang hiệu lực/Đã phục hồi"
Các khoản phí dịch vụ/tài liệu/pháp lý trong Tài chính Nhà máy Bột mì NUST là bao nhiêu?,Theo thực tế.
Tài khoản Số Asaan của NUST là gì?,"Tài khoản Số Asaan của NUST là một sản phẩm ngân hàng số cung cấp một nền tảng đơn giản, dễ sử dụng để khách hàng quản lý tài chính của mình một cách thuận tiện trực tuyến."
Tài khoản NUST Maximiser là gì?,"Tài khoản NUST Maximiser là một tài khoản tiền gửi mang lại lợi nhuận cao hơn với tính linh hoạt trong việc truy cập dễ dàng vào các khoản tiền, nhằm mục đích tối đa hóa khoản tiết kiệm cho chủ tài khoản."
Tôi có thể theo dõi tình trạng chuyển tiền trực tuyến không?,"Có, bạn có thể xem tình trạng chuyển tiền của mình trực tuyến thông qua Công cụ Theo dõi Chuyển tiền NUST bằng liên kết sau https://NUSTbank.com/services/alternate-delivery-channels/home-remittance-tracking/"
Tôi có thể vay bao nhiêu?,"Tối đa 3 triệu Rupee từ tất cả các ngân hàng/Tổ chức Tài chính Phát triển (DFIs) tính tổng, với điều kiện không vượt quá 40% yêu cầu Gánh nặng Nợ."
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Các Thông Tin Quan Trọng Khác về Kế hoạch Bảo hiểm Nhân thọ Jubilee,"- Chỉ có Kế hoạch Giáo dục và Hôn nhân là các kế hoạch Có Thời hạn với Quyền lợi Tiếp tục (trong trường hợp tử vong, khoản thanh toán sẽ được thực hiện khi đáo hạn).
- Trong trường hợp tử vong, Giá trị Tiền mặt hoặc Số tiền Bảo đảm, tùy theo giá trị nào cao hơn, sẽ được thanh toán.
- Các chế độ Thanh toán Phí bảo hiểm Hàng năm/Bán niên/Theo quý có sẵn tùy theo sự thuận tiện của khách hàng.
- Sự tăng trưởng của hợp đồng phụ thuộc vào mức tăng trưởng tỷ giá thị trường của các đơn vị Quỹ tương hỗ liên kết (Nhiều lựa chọn quỹ có sẵn từ JLI).
- Các khiếu nại tử vong sẽ được Jubilee Life xử lý, với điều kiện hoàn tất các tài liệu cần thiết và hợp đồng phải ở trạng thái Đang hoạt động, Đang có hiệu lực, hoặc Đã được phục hồi."
Các lợi ích miễn phí của Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan là gì?,"Một số lợi ích miễn phí của Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan bao gồm: Phát hành miễn phí Sổ séc đầu tiên (25 tờ), Phát hành miễn phí Thẻ ghi nợ PayPak lần đầu, Giao miễn phí Sổ séc & Thẻ ghi nợ đầu tiên, Dịch vụ cảnh báo SMS miễn phí (Giao dịch kỹ thuật số), Bản sao kê điện tử & Ngân hàng trực tuyến I-Net miễn phí, Gửi/Rút tiền mặt trực tuyến liên chi nhánh miễn phí, Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh, Phát hành Séc của Ngân hàng miễn phí và Bảo hiểm/Takaful Tử vong & Thương tật do tai nạn miễn phí lên tới 2,5 triệu PKR với số dư trung bình hàng tháng là 100,000 PKR."
Tài khoản Kỹ thuật số NUST Freelancer có giới hạn Tín dụng và Ghi nợ nào không?,"Các giới hạn Giao dịch sau được áp dụng:
Giới hạn Số dư Tín dụng Tối đa: 5.000 USD hoặc tương đương
Giới hạn Ghi nợ Hàng tháng: 5.000 USD hoặc tương đương
Giới hạn Rút tiền Mặt: 500.000 PKR hoặc tương đương mỗi ngày"
Thị trường mục tiêu là gì?,"Cá nhân có giá trị ròng cao (đơn lẻ hoặc chung), Doanh nghiệp Tư nhân, Công ty Hợp danh, Công ty Trách nhiệm hữu hạn Công cộng và Tư nhân, Tổ chức Chính phủ, Tập đoàn, Câu lạc bộ, Hội, Hiệp hội, Tổ chức phi chính phủ."
Hạn mức cho vay của NUST Rice Finance là gì?,"Doanh nghiệp vừa và lớn (ME): Lên đến 200 triệu Rupees (Tối đa), Doanh nghiệp siêu nhỏ và nhỏ (SE): Lên đến 25 triệu Rupees (Tối đa)."
NUST đang cung cấp những tiện ích miễn phí nào trên Tài khoản Vãng lai NUST Sahar?,"Sổ Séc đầu tiên, Phát hành Thẻ Ghi nợ đầu tiên, Giảm giá 50% cho năm đầu tiên thuê Tủ gửi đồ (tùy thuộc vào tình trạng có sẵn của tủ), Phát hành Séc của Ngân hàng, Rút/Gửi Tiền mặt Liên chi nhánh Trực tuyến (Online), Chuyển Khoản Nội bộ trong NUST qua chi nhánh (Chuyển khoản Trực tuyến), Cảnh báo SMS cho tất cả các Giao dịch ngân hàng, Ngân hàng Di động và I-Net, Tiện ích Bản sao kê Điện tử và nhiều hơn nữa. Các khoản Phí/Niên liễm tiếp theo sẽ được tính theo Biểu Phí hiện hành."
PMYB & ALS được cung cấp cho những mục đích nào?,• Để bắt đầu doanh nghiệp mới • Để mở rộng doanh nghiệp hiện có
Tôi có thể thế chấp tài sản sở hữu của mình để vay vốn không?,"Có, mục đích vay vốn phải phù hợp với mục đích do cơ quan quản lý quy định, bao gồm: Vay để xây dựng nhà trên lô đất ở thuộc sở hữu, Dịch vụ Chuyển khoản Dư nợ (BTF) để thay thế khoản vay hiện có của khách hàng từ các ngân hàng/Tổ chức Tài chính Phát triển (DFIs) khác, Cải tạo nhà/căn hộ/chung cư/đơn vị nhà ở thuộc sở hữu, Mở rộng/Cải thiện đơn vị nhà ở."
Làm thế nào tôi có thể đăng ký vay vốn?,Bạn có thể đăng ký bằng cách đến bất kỳ Chi nhánh nào của chúng tôi hoặc gọi cho chúng tôi tại Trung tâm Liên hệ 24 giờ theo số 111-000-787. Nhân viên tận tâm của chúng tôi sẽ hỗ trợ bạn hoàn thành đơn đăng ký vay và các thủ tục khác.
Hạn mức cho vay của NUST Rice Finance là gì?,"Doanh nghiệp vừa và lớn (ME): Lên đến 200 triệu Rupees (Tối đa), Doanh nghiệp siêu nhỏ và nhỏ (SE): Lên đến 25 triệu Rupees (Tối đa)."
Tần suất trả nợ trong PMYB & ALS là gì?,Việc trả nợ các khoản vay PMYB&ALS sẽ được thực hiện dưới hình thức 'Trả góp Hàng tháng hoặc Hàng quý (hoặc theo chỉ đạo của SBP).
Thời gian xử lý hồ sơ là bao lâu?,Thời gian xử lý hồ sơ Tài chính Cá nhân là 10 ngày làm việc kể từ khi đăng nhập cho đến khi được phê duyệt (phụ thuộc vào việc hồ sơ đầy đủ với các tài liệu yêu cầu).
Tôi sẽ nhận tiền kiều hối bằng loại tiền tệ nào?,Tất cả các khoản thanh toán kiều hối trong nước đều được giải ngân bằng Rupee Pakistan.
Có độ tuổi tối thiểu để được hỗ trợ tài chính tại NUST Ujala Finance không?,Tài trợ SE/ME: Từ 25-55 tuổi tại thời điểm nộp đơn. (Một trong các đối tác/giám đốc phải đáp ứng tiêu chí về tuổi). Nhà cung cấp/Nhà bán lẻ: Từ 25-55 tuổi tại thời điểm nộp đơn. (Một trong các đối tác/giám đốc phải đáp ứng tiêu chí về tuổi). Tài trợ cho Nhân viên NUST: Không giới hạn độ tuổi. Tài trợ cho Ứng viên Nội địa: Từ 25-55 tuổi tại thời điểm nộp đơn. (Một trong những người vay hoặc người đồng vay phải đáp ứng tiêu chí)
Ai có thể đăng ký vay Tài chính Ô tô NUST?,• Cá nhân hưởng lương. • Người khuyết tật đặc biệt/Người khiếm thị/Người khuyết tật (PWD). • Doanh nhân/Nữ doanh nhân tự làm chủ (SEB). • Cá nhân có bất kỳ nguồn thu nhập nào khác có thể xác minh được. • Chuyên gia tự làm chủ (SEP).
Có bao nhiêu gói bảo hiểm EFU có sẵn?,"o Gói Tiết kiệm và Bảo vệ EFU – Gói Bảo vệ Trọn đời và Tiết kiệm – 18K
o Gói Giáo dục và Hôn nhân EFU – Gói Thời hạn Có hạn (Quyền lợi Tiếp tục) – 18K
o Gói Hưu trí EFU – Tiết kiệm & Bảo vệ – 18K
o Gói Đóng phí Một lần EFU – Gói Đầu tư Đóng phí Một lần – 100K
o Gói Tăng trưởng Mạnh mẽ EFU – Gói Đầu tư và Tiết kiệm với Phân bổ Vốn Cao – 250K"
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Ngân hàng của bạn có cung cấp tài khoản Lãi & Lỗ không?,"Có, Tài khoản Chia sẻ Lãi Lỗ được thiết kế đặc biệt để đáp ứng nhu cầu giao dịch và tiết kiệm của khách hàng."
Các tiện ích miễn phí đi kèm với Tài khoản Kỹ thuật số Roshan là gì?,Phát hành thẻ ghi nợ miễn phí lần đầu (phí hàng năm theo SOC hiện hành). Ngân hàng trực tuyến I-Net miễn phí. Bản sao kê điện tử miễn phí.
Phí định giá/BOQ là gì?,Tính theo thực tế.
Ngân hàng NUST có cung cấp tài khoản cho Người Pakistan không cư trú (NRP) không?,"Có, Tài khoản Roshan Digital. Được thiết kế đặc biệt cho Cá nhân Người Pakistan không cư trú (NRP) muốn thực hiện các hoạt động ngân hàng, thanh toán và đầu tư tại Pakistan."
"Tôi muốn mở tài khoản cùng con trai, ngân hàng có sản phẩm nào dành cho trẻ em không?","Có, sản phẩm của chúng tôi là Tài Khoản Little Champs. Tài khoản này được thiết kế đặc biệt dành cho trẻ vị thành niên (dưới 18 tuổi). Trẻ em cần sự hỗ trợ của cha mẹ hoặc người giám hộ hợp pháp để mở tài khoản này và sử dụng các tiện ích của nó. Little Champs sẽ được nhận Thẻ Ghi nợ và sổ séc, miễn phí lần đầu."
Ngân hàng NUST có tài khoản chuyển tiền chuyên biệt theo hướng dẫn của SBP không?,"Có, NUST có một tài khoản chuyển tiền có tên là Tài khoản Chuyển tiền Pak Wattan."
Số tiền tài trợ tối thiểu và tối đa là bao nhiêu?,"Số tiền tài trợ tối thiểu là Rs. 500,000. Hạn mức tài trợ tối đa sẽ lên tới Rs.100,000,000/- và phụ thuộc vào Tỷ lệ Gánh nặng Nợ (DBR) 50% theo Quy định Ưu tiên của Ngân hàng Nhà nước Pakistan (SBP PRs) về Tài trợ Nhà ở."
Thị trường mục tiêu là gì?,Thị trường mục tiêu cho Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan bao gồm các cá nhân - người thụ hưởng (gia đình) của những người Pakistan đang làm việc ở nước ngoài.
Tỷ lệ lợi nhuận cho tiền gửi có kỳ hạn bằng ngoại tệ là bao nhiêu?,"Tỷ lệ lợi nhuận cho USD: 0,0025, GBP: 0,0025, EUR: 0."
Ngân hàng NUST có cung cấp Tài khoản Ngân hàng Kỹ thuật số cho Freelancer không?,"Tài khoản Kỹ thuật số NUST Freelancer được thiết kế dành riêng cho Freelancer, giúp họ có thể nhận thanh toán trực tiếp vào tài khoản ngân hàng và đồng thời tận hưởng các dịch vụ ngân hàng phong cách sống khác."
Phí xử lý cho Đơn xin Tài chính Nhà máy Bột mì NUST là bao nhiêu?,"Phí xử lý sẽ được tính @ 0,15% trên tổng hạn mức đã xử lý/được phê duyệt hoặc 25.000 Rs, tùy theo mức nào cao hơn."
Mức lãi suất hiện tại của NUST Ujala Finance là bao nhiêu?,6% mỗi năm cho tất cả mọi người. Lãi suất tính theo Kibor 12 tháng + 4% mỗi năm sẽ được áp dụng cho đến khi khoản yêu cầu tái tài trợ được Ngân hàng Nhà nước Pakistan (SBP) hoàn trả.
Có thể gửi kiều hối từ bất kỳ đâu đến Pakistan không?,"Có, kiều hối có thể được gửi từ khắp nơi trên thế giới đến Pakistan thông qua các đối tác đại lý của chúng tôi như Western Union, Mastercard, Dandelion Payments (RIA), v.v. Để biết thêm thông tin, vui lòng truy cập liên kết sau: https://NUSTbank.com/services-home-remittance-our-partners/"
Làm thế nào để tôi nhận được cập nhật về Đơn đăng ký Thẻ Tín dụng của mình?,Bạn cũng có thể đến thăm trực tiếp/gọi điện hoặc gửi email đến (các) trung tâm Dịch vụ Khách hàng của chúng tôi. Địa chỉ email: CustomerServices@NUSTbank.com.pk.
RDA Digital Customer Onboarding là gì?,"RDA Digital Customer Onboarding là một dịch vụ đổi mới của Ngân hàng NUST cho phép khách hàng mở và quản lý tài khoản của họ một cách kỹ thuật số, mang lại trải nghiệm liền mạch mà không cần phải đến trực tiếp chi nhánh."
Ngân hàng của bạn có cung cấp tài khoản Tiền gửi Thanh toán không?,Tài khoản Tiền gửi Thanh toán được thiết kế đặc biệt cho những khách hàng có nhu cầu giao dịch ngân hàng thường xuyên và không cần hưởng Lợi nhuận.
Tỷ lệ đánh dấu hiện tại của Tài chính NUST Imarat là bao nhiêu?,Doanh nghiệp vừa và nhỏ (SME) thông thường: Tỷ lệ cho người dùng cuối: 12MK+4% mỗi năm (được xem xét lại hàng năm). Doanh nghiệp vừa và nhỏ (SME) được Hỗ trợ bởi Lực lượng Vũ trang: Tỷ lệ cho người dùng cuối: 12MK+2.5% mỗi năm (được xem xét lại hàng năm).
Có độ tuổi tối thiểu nào để được hỗ trợ tài chính theo Chương trình Tài chính Xay xát Bột mì NUST không?,Độ tuổi của người vay (trong trường hợp doanh nghiệp tư nhân) phải tối thiểu 20 tuổi và không vượt quá 65 tuổi tại thời điểm nộp đơn. Giới hạn tuổi này có thể được nới lỏng trong trường hợp có kế hoạch kế thừa hiệu quả cho hoạt động kinh doanh. Tiêu chí này không áp dụng nếu doanh nghiệp là công ty hợp danh hoặc công ty trách nhiệm hữu hạn.
Tần suất trả nợ trong PMYB & ALS là gì?,Việc trả nợ các khoản vay PMYB&ALS sẽ được thực hiện dưới hình thức 'Trả góp hàng tháng hoặc hàng quý (hoặc theo chỉ đạo của SBP).
Có độ tuổi tối thiểu nào để được nhận tài trợ trong PMYB & ALS và có yêu cầu trình độ/kinh nghiệm bắt buộc nào không?,"Tất cả công dân Pakistan trong độ tuổi từ 21 đến 45 đều đủ điều kiện ứng tuyển, tuy nhiên đối với các doanh nghiệp liên quan đến CNTT/Thương mại điện tử, độ tuổi tối thiểu sẽ là 18 tuổi (yêu cầu ít nhất phải có bằng trung học cơ sở hoặc trình độ học vấn tương đương)."
Thời hạn tối đa của Tài chính Lúa gạo NUST là bao lâu?,"Tài chính Tiền mặt: Tối đa 270 ngày hoặc theo chu kỳ dọn dẹp, tùy điều kiện nào đến trước, Tài chính Hoạt động: Một năm."
Khoản vay có thể được cấp dưới danh nghĩa Tài chính NUST Ujala là bao nhiêu?,i. Doanh nghiệp nhỏ – lên đến 15 triệu Rupees. ii. Doanh nghiệp vừa – lên đến 25 triệu Rupees. iii. Người dùng trong nước – từ 0.5 triệu đến 3.0 triệu Rupees. iv. Nhân viên NUST: lên đến 3.00 triệu Rupees. v. Nhà cung cấp: Từ 5 triệu đến 25 triệu Rupees – (Một nhà cung cấp duy nhất).
Vui lòng cho tôi biết về số dư tối thiểu hàng tháng bắt buộc cho tài khoản này?,Không yêu cầu ký quỹ ban đầu. 100.000 Rs/- (Số dư trung bình hàng tháng).
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Có bao nhiêu Kế hoạch Bảo hiểm Nhân thọ Jubilee có sẵn?,"• Kế hoạch Tiết kiệm và Bảo vệ Jubilee Life - Kế hoạch Bảo vệ Trọn đời và Tiết kiệm
• Kế hoạch Giáo dục Jubilee Life - Kế hoạch Thời hạn Có hạn (Quyền lợi Tiếp tục)
• Kế hoạch Hôn nhân Jubilee Life - Kế hoạch Thời hạn Có hạn (Quyền lợi Tiếp tục)
• Kế hoạch Hưu trí Jubilee Life - Tiết kiệm & Bảo vệ"
Ngân hàng có chịu trách nhiệm cho bất kỳ loại tranh chấp nào liên quan đến Bảo hành/Lỗi xe/Vấn đề dịch vụ với Đại lý hoặc Nhà sản xuất xe không?,Không. Ngân hàng không chịu trách nhiệm này. Khách hàng sẽ tự giải quyết vấn đề trực tiếp với đại lý hoặc nhà sản xuất.
Những lợi ích của Dịch vụ Tài chính Tự động của Ngân hàng NUST là gì?,"• Tỷ lệ Mark Up Thả nổi & Cố định Cạnh tranh. • Tùy chọn thanh toán một phần có sẵn để giảm khoản trả góp hàng tháng. • Tỷ lệ Bảo hiểm Hấp dẫn ở mức 1,75% mỗi năm. • Xử lý Nhanh chóng & Tài liệu Tối thiểu. • Miễn phí Thiết bị định vị & Lắp đặt. • Không có phí ẩn. • Bảo hiểm Nhân thọ Tai nạn Miễn phí lên đến Rs.1,000,000."
Tiêu chí Đủ điều kiện cho Tài khoản NAA là gì?,Cá nhân người Pakistan cư trú không duy trì/có bất kỳ tài khoản nào khác (cá nhân hoặc chung) tại Ngân hàng NUST Limited đều đủ điều kiện để mở Tài khoản NAA bằng đồng rupee Pakistan dưới dạng tài khoản cá nhân/tài khoản chung.
Tôi có thể vay nhiều hơn một khoản vay mua nhà không?,Có. Một người có thể vay hai Khoản vay Thế chấp cùng một lúc từ Ngân hàng NUST trong tỷ lệ Nợ trên Thu nhập (DBR) theo Quy định Hiện hành của Ngân hàng Nhà nước về Tài chính Nhà ở.
