,instruction,input,output
15,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the opening and minimum balance requirement in NAA?,Account can be opened with Rs.100/ and there is No minimum balance requirement.
16,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of Ask Fauri Business Finance?,"AFBF-1: 3MK /COD +1.50%, AFBF-2: 12 MK /COD +2.0%, AFBF-3: As per SOC, AFBF-4: As per SOC."
17,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,AIF 1 & AIF 2: Minimum 30% (Existing business) & Minimum 40% (New Business). AIF 3 & AIF 4: Nil for Existing business & Minimum 25% (New Business).
18,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the maximum tenure of NUST Rice Finance?,"Cash Finance: Max 270 Days or Clean-up corridors whichever is earlier, Running Finance: One Year."
19,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any account which provides lucrative profits on my long term savings?,"Yes, NUST Maximiser Account has been designed to fulfill your basic banking needs and provide lucrative profit on your savings."
20,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Eligibility Criteria for business entity in Ask Fauri Business Finance?,All except individuals.
21,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
22,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market of NUST Asaan Digital Account?,NUST Asaan Digital Account is specially designed for unbanked / under-banked customer segments. This account is most suited for but not limited to skilled/unskilled workforce.
23,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free services available with ASDA?,"Free E-statement & I-Net Banking, Free Inter Branch Online Cash Deposit/Withdrawal (Online), Free Internal Fund Transfer within NUST via branch (Online Transfer), Free Banker’s Cheque Issuance, Free SMS Alerts on Digital Transaction."
24,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can overseas Pakistanis obtain Personal Finance facility from NUST?,"No, the availability of applicants & their employers is mandatory within Pakistan for applying clean Personal Finance."
25,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
26,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any Premature Encashment Penalty in NUST Maximiser Term Deposit?,"The encashment of NUST Maximiser Term Deposit before maturity will be subject to premature encashment penalty as below: Principal amount x 1.5% per annum on the remaining period of the Term Deposits. (For example, if a deal booked for 5 years matures after 2 years – penalty/charges will be 4.5% x Principal Amount). Minimum penalty/charges are 1.5% of the principal amount. The penalty amount will be to the extent of profit paid/payable only."
27,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main Features of the Little Champs Account?,"• Minimum initial deposit of Rs.100/-
• Little Champs Savings A/C
• Free first chequebook* (For Current Account only)
• Free debit card* (annual/replacement fees apply)
• Profit Payment: Semi-Annually
• Profit Rate: 0.19
• Daily funds Transfer Limit: Rs.100,000/-
• Daily ATM Withdrawal Limit: Rs.25,000/-
• Daily POS Limit: Rs.50,000/-"
28,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Rice Finance?,"ME: Upto Rs.200M (Maximum), SE: Upto Rs.25M (Maximum)."
29,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any grace period allowed in any financing?,Grace period of 3 months allowed for AFBF-2 (Term Loan Only).
30,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free benefits of NUST Freelancer Digital Account?,"Free Issuance of First Cheque book (10 Leaves), Free First Issuance of UnionPay Debit Card, Free First Cheque Book & Debit Card Delivery, Free SMS alerts facility (Digital Transactions), Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000."
31,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the charges applicable for NUST Hunarmand Finance?,Applicable as per PMYB & ALS.
32,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in Ask Fauri Business Finance?,At actual.
33,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail Loan Facility if there are defaults against my previous loan(s)?,No. Regular payment against previous loans is necessary.
34,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can applicant avail clean loan in NUST Sahar Finance?,Max Rs: 0.70 million can be availed against personal and third party guarantee.
35,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities associated with Roshan Digital Account?,Free First Issuance of Debit Card (annual charges as per prevailing SOC). Free I-Net banking. Free E-statements.
36,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of NUST Flour Mill Finance?,Cash Finance: 3 Months average KIBOR + 3% p.a. Running Finance: 3 Months average KIBOR + 3.5% p.a. (Reviewed/revised on quarterly basis).
37,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,Individuals running a freelance service business
38,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Other Important Information about EFU Insurance Plans,"- Only Education and Marriage Plans are Limited time plan with Continuation Benefits (in case of death payment will be made upon maturity)
- Single Premium Plan which can be terminated at any time, in case of death Cash Value or Sum Assured whichever is higher will be paid
- Annual / Half Yearly / Quarterly - Policy Premium Payment Modes Available as per customer convenience
- Aggressive Growth Plan is a high risk Plan depends on customer profile
- Death Claims will be handled by EFU subject to completion of required documents and eligible if policy status is Active, Inforced/Reinstated only"
39,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in NUST Flour Mill Finance?,At actual.
40,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the NUST Asaan Digital Account?,"NUST Asaan Digital Account is a digital banking product that provides a simple, easy-to-use platform for customers to manage their finances conveniently online."
41,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is NUST Maximiser Account?,"NUST Maximiser Account is a deposit account that offers higher returns with the flexibility of easy access to funds, aiming to maximize savings for the account holder."
42,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I track my remittance status online?,"Yes, you can view the status of your remittance online through NUST Remittance Tracker by following link https://NUSTbank.com/services/alternate-delivery-channels/home-remittance-tracking/"
43,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How much loan can I avail?,"Up to a maximum of Rs.3 Million from all banks/DFIs in aggregate, subject to a maximum of 40% Debt Burden requirement."
44,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
45,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Other Important Information about Jubilee Life Insurance Plans,"- Only Education and Marriage Plans are Limited Time plans with Continuation Benefits (in case of death, payment will be made upon maturity).
- In case of death, Cash Value or Sum Assured, whichever is higher, will be paid.
- Annual/Half Yearly/Quarterly Premium Payment Modes are available as per customer convenience.
- Policy growth depends on the associated Mutual Fund units market rate growth (Multiple fund choices available from JLI).
- Death claims will be handled by Jubilee Life, subject to completion of required documents, and the policy must be Active, Inforced, or Reinstated only."
46,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free benefits of NUST Asaan Digital Remittance Account?,"Some free benefits of NUST Asaan Digital Remittance Account include: Free Issuance of First Cheque book (25 Leaves), Free First Issuance of PayPak Debit Card, Free First Cheque Book & Debit Card Delivery, Free SMS alerts facility (Digital Transactions), Free E-statement & I-Net Banking, Free Inter Branch Online Cash Deposit/Withdrawal, Free Internal Fund Transfer within NUST via branch, Free Banker’s Cheque Issuance, and Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000."
47,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any Credit and Debit limits in NUST Freelancer Digital Account?,"The following Transaction limits apply:
Maximum Credit Balance Limit: USD 5,000 or equivalent
Monthly Debit Limit: USD 5,000 or equivalent
Cash Withdrawal Limit: PKR 500,000 or equivalent per day"
48,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,"HNW Individuals (either singly or jointly), Proprietorship Concerns, Partnership Firms, Public and Private Limited Companies, Government Organizations, Corporations, Clubs, Societies, Associations, NGOs."
49,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Rice Finance?,"ME: Upto Rs.200M (Maximum), SE: Upto Rs.25M (Maximum)."
50,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities NUST is offering on NUST Sahar Current Account?,"First Cheque Book, First Debit Card Issuance, 50% Discount on first year Locker Rental (subject to locker availability), Bankers Cheque Issuance, Inter Branch Online Cash Withdrawal/Deposit (Online), Internal Fund Transfer within NUST via branch (Online Transfer), SMS Alerts on all banking Transactions, I-Net and Mobile Banking, E-statement Facility and much more. Subsequent Charges/Annual Fees would be as per prevailing Schedule of Charges."
51,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purposes PMYB & ALS is being offered?,• To start new business • To expand existing business
52,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I obtain financing on my owned property by mortgaging it?,"Yes, purpose of finance has to be in line with the purpose defined by regulator i.e., Financing for construction of house on owned residential plot, Balance Transfer Facility (BTF) against existing financing facility of borrower from other banks/DFIs, Renovation of owned House/ Apartment/ Flat/ Residential Unit, Extension/ Expansion/ Improvement of Residential Unit."
53,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How can I apply for loan?,You can apply by visiting any of our Branches or by calling us at 24 hours Contact Centre at 111-000-787. Our dedicated staff will help you to complete your loan application and other formalities.
54,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Rice Finance?,"ME: Upto Rs.200M (Maximum), SE: Upto Rs.25M (Maximum)."
55,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment frequency in PMYB & ALS?,Repayment of PMYB&ALS loans will be made in the form of 'monthly or quarterly Instalments (or as per SBP’s directives).
56,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing time?,The processing time of Personal Finance is 10 working days from login till approval (subject to complete application with required documents).
57,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In which currency will I receive my remittance?,All home remittance payments are disbursed in Pak Rupees.
58,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Ujala Finance?,SE/ME Financing: Between 25-55 years at the time of application. (Any one partner/ director should meet age criteria). Vendors/Suppliers: Between 25-55 years at the time of application. (Any one partner/ director should meet age criteria). NUST Employees’ Financing: No age limit. Domestic Applicant Financing: Between 25-55 years at the time of application. (Any one borrower or co-borrower should meet criteria)
59,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who can apply for NUST Auto Finance?,• Salaried Individuals. • Specially Abled Persons/Visually Impaired Persons/Persons with Disabilities (PWD). • Self Employed Businessman/Woman (SEB). • Individuals having any other verifiable source of income. • Self Employed Professionals (SEP).
60,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How many EFU Insurance Plans available?,"o EFU Savings and Protection Plan – Life time Protection and Saving Plan – 18K
o EFU Education and Marriage Plan – Limited Time Plan (Continuation Benefits) – 18K
o EFU Retirement Plan – Saving & Protection – 18K
o EFU - Single Premium Plan – Single Premium Investment Plan – 100K
o EFU Aggressive Growth Plan – High Allocation Investment & Savings Plan – 250K"
61,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
62,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is your bank offering Profit & Loss account?,"Yes, Profit & Loss Sharing Account is specially designed to meet the transactional and savings need of customers."
63,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities associated with Roshan Digital Account?,Free First Issuance of Debit Card (annual charges as per prevailing SOC). Free I-Net banking. Free E-statements.
64,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the valuation/BOQ charges?,At actual.
65,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank offer any account for Non-Resident Pakistanis (NRPs)?,"Yes, Roshan Digital Account. Specially designed for Individual Non-Resident Pakistanis (NRPs) seeking to undertake banking, payment, and investment activities in Pakistan."
66,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries","I would like to open an account with my son, do you have any product for kids?","Yes, our product is the Little Champs Account. It is designed specifically for minors (individuals below the age of 18 years). A child requires the help of a parental/legal guardian to open this account and avail its facilities. Little Champs get a Debit Card and chequebook, which is free the first time."
67,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank have a specialized remittance Account as per SBP guideline?,"Yes, NUST has a remittance account named Pak Wattan Remittance Account."
68,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the minimum and maximum financing amount?,"The minimum financing amount is Rs. 500,000. The maximum financing limit will be up to Rs.100,000,000/- subject to 50% Debt Burden Ratio(DBR) as per SBP PRs for Housing Finance."
69,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,The target market for NUST Asaan Digital Remittance Account includes individuals - beneficiaries (families) of Pakistanis working abroad.
70,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for FCY term deposits?,"Profit Rate for USD: 0.0025, GBP: 0.0025, EUR: 0."
71,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank offer a Digital Banking Account for Freelancers?,"NUST Freelancer Digital Account is exclusively designed for Freelancers, so that they can receive their payments directly in a bank account and enjoy other lifestyle banking services as well."
72,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Flour Mill Finance Application?,"Processing fee will be charged @ 0.15% of total limit(s) processed/approved or Rs. 25,000/- whichever is higher."
73,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of NUST Ujala Finance?,6 % per annum for all. Markup at 12M Kibor + 4% Per Annum to be charged till refinance claim reimbursed by SBP.
74,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can remittance be sent from anywhere to Pakistan?,"Yes, remittance can be sent from around the globe to Pakistan through our agent partners like Western Union, Mastercard, Dandelion Payments (RIA), etc. For more information please go through the following link: https://NUSTbank.com/services-home-remittance-our-partners/"
75,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How will I get update of my Credit Card Application?,You can visit/ call or send email at our Customer Services centre(s) as well. Services centre(s) as well. Email Address: CustomerServices@NUSTbank.com.pk.
76,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is RDA Digital Customer Onboarding?,"RDA Digital Customer Onboarding is an innovative service by NUST Bank that allows customers to open and manage their accounts digitally, providing a seamless experience without the need for physical visits."
77,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is your bank offering any Current Deposit account?,Current Deposit Account is specially designed for customers with regular banking transactional needs and do not need Profit.
78,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of NUST Imarat Finance?,General Regular SME’s: End-user Rate: 12MK+4% p.a. (to be reviewed on annual basis). SME’s Backed By Armed Forces: End-user Rate: 12MK+2.5% p.a. (to be reviewed on annual basis).
79,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Flour Mill Finance?,"The age of the borrower (in case of sole-proprietorship) must be minimum 20 years, and not exceed 65 years at the time of application. This age limit can be relaxed in case of effective succession planning for business operations. This criteria is not applicable if the business concern is a partnership or limited company."
80,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment frequency in PMYB & ALS?,Repayment of PMYB&ALS loans will be made in the form of 'monthly or quarterly Instalments (or as per SBP’s directives).
81,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in PMYB & ALS and any mandatory qualification/experience required?,"All Pakistanis aged between 21 and 45 are eligible to apply, however for IT/E-Commerce related businesses, the lower age limit will be 18 years (at least matriculation or equivalent education will be required)."
82,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the maximum tenure of NUST Rice Finance?,"Cash Finance: Max 270 Days or Clean-up corridors whichever is earlier, Running Finance: One Year."
83,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Loan Amount that can be availed under NUST Ujala Finance?,i. Small Enterprise – upto Rs. 15 M ii. Medium Enterprise – upto Rs. 25M iii. Domestic users – from Rs. 0.5M to Rs. 3.0M iv. NUST employees: upto Rs. 3.00M v. Vendors/Suppliers: From Rs. 5M to 25 Million – (Single Vendor)
84,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about the Minimum Monthly balance required for this account?,"No initial deposit requirement. Rs. 100,000/- (Monthly Average Balance)."
85,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
86,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How many Jubilee Life Insurance Plans are available?,"• Jubilee Life Savings and Protection Plan - Lifetime Protection and Saving Plan
• Jubilee Life Education Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Marriage Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Retirement Plan - Saving & Protection"
87,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Whether the bank is responsible for any type of dispute related to Warranty/Fault in vehicle/Service issues with Dealership or vehicle Manufacturer?,No. Bank does not assume this responsibility. Customer will take up the matter directly with the dealership or manufacturer.
88,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the benefits of NUST Bank Auto Finance?,"• Competitive Floating & Fixed Mark Up Rate. • Partial Payment option available to reduce monthly installment. • Attractive Insurance Rate at 1.75% per annum. • Quick Processing & Minimum Documentation. • Free Tracker & Its installation. • No hidden charges. • Free Accidental Life Insurance up to Rs.1,000,000."
89,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Eligibility Criteria for NAA?,Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.
90,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail more than one House loan?,Yes. One can avail two Mortgage Loans at a time from NUST Bank within Debt Burden Ratio (DBR) as per prevailing SBP PRs for Housing Finance.
91,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any Insurance Coverage for this account?,"• ATM Cash Withdrawal Insurance coverage up to daily cash withdrawal limit of the debit card from NUST Bank ATMs. • 24 hours world-wide ‘Accidental Death & Permanent Disability’ insurance coverage to Debit Card holders. Rs. 500,000/- and Rs. 700,000/- for Classic and Gold Debit Cards respectively. • 24 hours world-wide ‘Accidental Death & Permanent Disability’ insurance coverage. The sum insured per account holder shall be equivalent to four times of the average balance completed in the last six months – maximum up to Rs. 2.5 million."
92,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for NUST Maximiser Savings Account?,Profit Payment: Monthly. Profit Rate: 0.19.
93,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What happens if I fail to fulfil your payment obligations?,"In case of overdue / default, recovery department of NUST will contact you, your loan-related details will be reported to Credit Bureau. Late payment will be applicable as per prevailing schedule of charges. Legal proceeding may also be initiated by the Bank."
94,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is NUST Bank Participating in PMYB & ALS?,"NUST Bank is actively participating in PMYB&ALS. It has been specially designed to provide self-employment opportunity to the unemployed youth of the country who have skills, knowledge, experience or willingness to start their own businesses on small to medium scale or expand existing business on vast scale."
95,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank offer option of Term Deposits with this account?,"Yes, Option to book exclusive NUST Sahar Term Deposits from NUST Sahar Current Account at attractive rates is available."
96,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any condition related to bank account maintenance for availing NUST Imarat Finance?,Minimum 1 year bank account statement with NUST or Minimum 2 years bank statement with any other bank.
97,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Account type of NUST Freelancer Digital Account? Is it Current or Saving?,"NUST Freelancer Digital Account offers Current Account in PKR & FCY (USD, GBP, EUR, AED)."
98,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in PMYB & ALS and any mandatory qualification/experience required?,"All Pakistanis aged between 21 and 45 are eligible to apply, however for IT/E-Commerce related businesses, the lower age limit will be 18 years (at least matriculation or equivalent education will be required)."
99,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Imarat Finance?,"New Business: Minimum 30 years at the time of application, however age not to exceed 60 years at maturity of loan. Existing Business: Minimum 30 years at the time of application, however age not to exceed 65 years at maturity of loan."
100,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of JLI Bancassurance Policy?,"- Short term Family Protection and in Long term Savings
- Minimum Policy Amount = 18,000, No Maximum Limit of policy
- Minimum Policy Term = 10 Years
- Additional benefits also available on cost (Riders and additional term insurance)
- Jubilee Life offers different plans to customers as per their needs and demands."
101,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any account NUST Bank is offering for remittance purposes?,"Yes, PakWatan Remittance Account. Through the PakWatan Remittance Account, beneficiaries can quickly and securely receive remittances from their loved one living abroad directly into their bank account without visiting the branch."
