cid,topic,text
17,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
8. Nhận sổ phụ, giấy báo nợ, báo có (gọi tắt chứng từ): 
KH có thể nhận chứng từ theo thời gian và phương thức (trừ trường hợp có thỏa thuận riêng 
khác) như sau: 
a.  Tại các Điểm giao dịch của Sacombank: 
(i) KH có thể yêu cầu Sacombank cung cấp tất  cả các loại chứng từ phát sinh (gồm cả 
giao dịch tại các Điểm giao dịch của Sacombank và/hoặc Kênh trực tuyến). Sacombank 
sẽ cung cấp đầy đủ, kịp thời chứng từ TK theo đúng thời gian và phương thức đã thỏa 
thuận với KH. 
(ii) Thời gian cung cấp chứng từ của KH tổ chức: kể từ ngày 10 hàng tháng, KH có thể yêu 
cầu Sacombank cung cấp các chứng từ phát sinh của tháng liền trước. Trong trường 
hợp KH có nhu cầu cung cấp chứng từ phát sinh khác thời gian này, tùy tình hình thực 
tế, Sacombank sẽ xem xét và quyết định việc có đáp ứng theo nhu cầu KH. 
b. Trên Kênh trực tuyến: KH chủ động truy cập và tải trực tiếp tại kênh mà KH giao dịch hoặc 
tại Kênh trực tuyến khác của Sacombank kể từ thời điểm hoàn tất giao dịch."
18,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
9. Nhận tin báo số dư, giao dịch trên TK: 
a. Việc  thông  báo  về  số  dư,  giao  dịch  trên  TK  được  thực  hiện  theo  phương  thức  do 
Sacombank triển khai trong từng thời kỳ. Tùy vào phương thức triển khai, KH đồng ý thực 
hiện theo các quy trình thủ tục đăng ký và thanh toán phí tương ứng để phục vụ cho việc 
nhận thông báo về số dư, giao dịch trên TK. 
b. KH có thể đăng ký Dịch vụ Gửi Tin báo của Sacombank để nhận các thông báo về biến 
động số dư trên tài khoản. Để sử dụng Dịch vụ Gửi Tin báo thông qua tính năng thông báo 
trên các Kênh trực tuyến, KH cần cài đặt phần mềm, ứng dụng và thực hiện các thao tác 
định danh, kích hoạt sử dụng theo hướng dẫn của Sacombank. KH có thể chủ động lựa 
chọn bật/tắt tính năng này tại (các) Kênh trực tuyến hoặc tùy từng thời điểm, Sacombank 
sẽ tự động bật tính năng này cho KH sử dụng và thông báo cho KH tối thiểu 07 ngày trước 
khi bật tính năng. 
c.  Khi sử dụng Dịch vụ Gửi tin báo của Sacombank, KH đồng ý tuân thủ Điều khoản và điều 
kiện Dịch vụ Gửi tin báo được Sacombank niêm yết công khai tại Website của Sacombank. 
d. KH được tra cứu, yêu cầu cung cấp thông tin tài khoản, giao dịch về tài khoản qua kênh 
tổng đài của Sacombank 1800 5858 88/(+84) 28 3526 6060 (hoặc số điện thoại khác do 
Sacombank công bố trong từng thời kỳ) thông qua số điện thoại đã đăng ký với Sacombank 
hoặc kênh tại quầy hoặc các kênh trực tuyến khác được Sacombank triển khai trong từng 
thời kỳ. "
19,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
1. Đối tượng mở TK trực tuyến: 
a.  TK mở trực tuyến không áp dụng hình thức TK chung. 
b. Đối tượng mở TK trực tuyến cá nhân là cá nhân chỉ có một quốc tịch Việt Nam (không áp 
dụng trường hợp KH có thêm quốc tịch khác), cư trú tại Việt Nam, từ đủ 18 tuổi trở lên đến 
dưới 70 tuổi (đối với TK mở trên Ứng dụng Đối tác và máy STM) hoặc từ đủ 18 tuổi trở lên 
(đối với TK mở trên Sacombank Pay) có đầy đủ năng lực hành vi dân sự. 
c.  Đối tượng mở TK trực tuyến tổ chức là doanh nghiệp thuộc loại hình công ty trách nhiệm 
hữu hạn, công ty cổ phần, doanh nghiệp tư nhân được thành lập, hoạt động hợp pháp 
theo pháp luật Việt Nam, có tình trạng “còn hoạt động” đến thời điểm mở TK, chưa đăng 
ký thông tin tại Sacombank, chỉ có 01 người đại diện theo pháp luật có quốc tịch Việt Nam. 
d. TK trực tuyến không được áp dụng đối với: 
(i) KH cá nhân/Người đại diện mở TK của KH tổ chức thuộc các đối tượng phải thực hiện 
giao dịch thông qua người giám hộ, người đại diện theo pháp luật. 
(ii) KH cá nhân là người không cư trú. 
(iii)  KH cá nhân có thông tin về các chủ sở hữu hưởng lợi khác. 
(iv)  KH có tham gia các thỏa thuận pháp lý (theo quy định pháp luật về phòng chống rửa 
tiền). 
(v) KH có dấu hiệu liên quan đến Hoa Kỳ (theo đạo luật FATCA). 
(vi)  KH thuộc danh sách trì hoãn, danh sách cấm vận, danh sách đen theo quy định của 
Sacombank."
20,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
2. KH chỉ được mở tối đa 01 TK trực tuyến trên tất cả các nền tảng cung cấp tính năng định danh 
điện tử và mở TK trực tuyến (trừ trường hợp KH đã được định danh tại quầy) hoặc theo quy 
định của Sacombank trong từng thời kỳ. "
21,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
3. Kênh đăng ký mở TK trực tuyến: 
a. TK trực tuyến cá nhân (VND) được đăng ký mở trên Ứng dụng Sacombank Pay, máy STM, 
Ứng dụng Đối tác. 
b. TK trực tuyến tổ chức  (VND)  được  đăng  ký  mở trên website 
https://www.sacombank.com.vn. 
c.  Các kênh đăng ký mở TK khác do Sacombank triển khai trong từng thời kỳ. 
"
22,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
4. Quản lý TK trực tuyến: 
a. TK trực tuyến được giao dịch trên Kênh trực tuyến trong phạm vi các tính năng và hạn mức 
giao dịch theo quy định của Sacombank từng thời kỳ. TK trực tuyến chỉ được thực hiện ủy 
quyền và các giao dịch tại quầy sau khi đã hoàn tất xác minh thông tin nhận biết thông 
qua gặp mặt trực tiếp tại quầy giao dịch của Sacombank và đăng ký mẫu chữ ký, con dấu 
để giao dịch tại quầy. 
b. Trường hợp KH có nhu cầu điều chỉnh hạn mức giao dịch hoặc đăng ký giao dịch tại quầy 
hoặc  sử  dụng  các  dịch  vụ  khác  trên  TK,  KH  có  thể  đến  bất  cứ  Điểm  giao  dịch  nào  của 
Sacombank để thực hiện theo các quy trình, thủ tục theo quy định của Sacombank trong 
từng thời kỳ bao gồm nhưng không giới hạn: thực hiện thủ tục nhận biết, xác minh thông 
tin thông qua gặp mặt trực tiếp, đăng ký bổ sung chữ ký và mẫu dấu, đề nghị nâng hạn 
mức và đăng ký sử dụng các dịch vụ thanh toán khác trên TK. 
c.  TK trực tuyến cá nhân: 
(i) TK trực tuyến cá nhân mở trên ứng dụng Sacombank Pay được sử dụng cho các giao 
dịch chuyển tiền, thanh toán và các giao dịch khác thực hiện trên ứng dụng Sacombank 
Pay. 
(ii) TK trực tuyến cá nhân mở trên máy STM được sử dụng cho các giao dịch nộp tiền, rút 
tiền, chuyển tiền, thanh toán và các giao dịch khác thực hiện trên máy STM. 
(iii)  TK trực tuyến cá nhân mở trên Ứng dụng Đối tác là tổ chức cung ứng dịch vụ Ví điện 
tử (“Ứng dụng Ví điện tử”) được tự động liên kết với Ví điện tử của chính KH tại tổ chức 
cung ứng dịch vụ Ví điện tử đó và sử dụng để thực hiện các giao dịch trên Ứng dụng 
Ví điện tử bao gồm giao dịch nạp tiền từ TK liên kết vào Ví điện tử; giao dịch thanh 
toán cho các hàng hóa, dịch vụ hợp pháp từ TK liên kết và rút tiền từ Ví điện tử về TK 
liên kết 
(iv)  TK trực tuyến cá nhân mở trên Ứng dụng Đối tác (ngoài Ứng dụng Ví điện tử) được 
liên kết để sử dụng trên Ứng dụng đối tác theo yêu cầu của KH. Phạm vi các giao dịch 
được thực hiện trên ứng dụng của từng Đối tác liên kết sau khi liên kết TK thành công 
theo thỏa thuận giữa Sacombank và KH và quy định về cung ứng sản phẩm, dịch vụ 
của Sacombank trong từng thời kỳ. 
(v) Trường hợp KH có nhu cầu giao dịch trên các kênh trực tuyến khác, KH thực hiện theo 
quy định tại điểm c khoản 2 Điều 2 Hợp đồng này. 
(vi)  Trường hợp KH đăng ký báo giao dịch tự động qua SMS, số điện thoại nhận tin báo là 
số điện thoại theo thông tin KH đăng ký khi mở TK. 
"
23,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
4. Quản lý TK trực tuyến: 
d. TK trực tuyến tổ chức: 
(i) KH phải đăng ký Người đại diện theo pháp luật là Người đại diện hợp pháp mở và sử 
dụng TK (Người đại diện chủ TK) và đăng ký thông tin Kế toán trưởng/Người phụ trách 
kế toán để giao dịch TK (trừ trường hợp KH là doanh nghiệp áp dụng chế độ kế toán 
đơn giản theo quy định pháp luật và đăng ký Người đại diện chủ TK là Người đại diện 
theo pháp luật kiêm nhiệm Người phụ trách kế toán).  
(ii) TK trực tuyến được đăng ký và sử dụng dịch vụ Internet Banking & Mobile Banking – 
phân  hệ  thanh  toán,  dịch  vụ  Gửi  tin  báo  (mặc định đăng ký theo thông tin số  điện 
thoại/email của Người đại diện chủ TK) và phát hành Thẻ ghi nợ Doanh nghiệp. 
(iii) Chế độ phê duyệt tài chính khi sử dụng dịch vụ Internet Banking & Mobile Banking 
bao  gồm  chế  độ  “1 người  tạo –  1 người  duyệt” hoặc  chế  độ  “Không cấp  duyệt  –  1 
người vừa tạo và duyệt”, cụ thể: 
- Chế độ “1 người tạo – 1 người duyệt” được áp dụng khi KH không thỏa điều kiện kế 
toán đơn giản theo quy định pháp luật hoặc KH thỏa điều kiện chế độ kế toán đơn 
giản nhưng có đăng ký thông tin Kế  toán trưởng/Người  phụ  trách  kế  toán  trong 
giao dịch TK. User tạo được đăng ký theo thông tin Kế toán trưởng/Người phụ trách 
kế toán và User duyệt được đăng ký theo thông tin của Người đại diện chủ TK. 
- Chế độ “Không cấp duyệt – 1 người vừa tạo và duyệt” được áp dụng khi KH là doanh 
nghiệp siêu nhỏ áp dụng chế độ kế toán đơn giản theo quy định pháp luật và đăng 
ký thông tin Người đại diện chủ TK là Người đại diện theo pháp luật kiêm nhiệm 
Người phụ trách kế toán. User giao dịch Internet Banking & Mobile Banking được 
đăng ký theo thông tin Người đại diện chủ TK. 
(iv) Sacombank chỉ phát hành thẻ ghi nợ doanh nghiệp sau khi TK trực tuyến của KH được 
mở thành công và phát hành tối đa 02 thẻ ghi nợ doanh nghiệp theo thông tin của 
Cán bộ nhân viên (CBNV) được đề nghị cấp Thẻ (Người được ủy quyền sử dụng Thẻ) 
là Người đại diện Chủ TK và/hoặc Kế toán trưởng/Người phụ trách kế toán (nếu KH có 
đăng ký thông tin Kế toán trưởng/Người phụ trách kế toán). Phạm vi sử dụng thẻ ghi 
nợ doanh nghiệp theo quy định của Sacombank trong từng thời kỳ. 
(v) Trước khi Sacombank hoàn tất thủ tục đối chiếu, xác minh thông tin KH, TK trực tuyến 
này chỉ được giao dịch một chiều – ghi có. Các giao dịch ghi nợ và việc kích hoạt sử 
dụng  dịch  vụ  Internet  Banking  &  Mobile  Banking/thẻ  chỉ  được  thực  hiện  sau  khi 
Sacombank nhận được đủ thông tin, hồ sơ hợp lệ từ KH và hoàn tất thủ tục đối chiếu, 
xác minh thông tin KH theo quy định của Sacombank. Trong trường hợp hồ sơ chưa 
đầy đủ, chưa hợp lệ, chưa khớp đúng với thông tin khai báo và bộ hồ sơ mở TK/thẻ, 
Sacombank sẽ thông báo yêu cầu KH bổ sung thông tin, hồ sơ và KH cam kết thực 
hiện bổ sung thông tin, hồ sơ (bao gồm cả thông tin về Kế toán trưởng/Người phụ 
trách kế toán, chủ sở hữu hưởng lợi, Người thành lập, Giám đốc/Tổng giám đốc) cho 
Sacombank trong thời hạn và theo cách thức mà Sacombank yêu cầu. "
24,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
5. Hạn mức giao dịch: 
a. TK trực tuyến cá nhân: Hạn mức giao dịch (ghi Nợ) trên TK thực hiện theo quy định của 
Sacombank trong từng thời kỳ và được thông báo đến KH. 
b. TK trực tuyến tổ chức: Hạn mức giao dịch (ghi Nợ) trên TK khi sử dụng dịch vụ Internet 
Banking & Mobile Banking là 300.000.000 đồng/giao dịch và 500.000.000 đồng/ngày và 
không vượt quá số dư được phép sử dụng tại thời điểm KH giao dịch. Hạn mức này không 
áp dụng: 
(i) Sacombank  áp  dụng  giải  pháp  cuộc  gọi ghi hình (video call) để  thực  hiện  thu  thập, 
kiểm tra, xác minh thông tin nhận biết KH theo quy định của Sacombank trong từng 
thời kỳ. 
(ii) Sacombank áp dụng công nghệ để kiểm tra, đối chiếu đặc điểm sinh trắc học của KH 
với dữ liệu sinh trắc học công dân thông qua cơ sở dữ liệu căn cước công dân. 
(iii)  Sau khi Sacombank áp dụng nhận biết và xác minh thông tin KH thông qua gặp mặt 
trực tiếp  
(iv)  Các giao dịch chuyển tiền để gửi tiết kiệm, tiền gửi có kỳ hạn bằng phương thức điện 
tử cho chính KH tại Sacombank. 
(v) Các trường hợp Sacombank được chủ động trích Nợ TK của KH theo thỏa thuận với 
KH và quy định pháp luật. "
25,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
6. Số dư duy trì tối thiểu đối với TK trực tuyến là 0 VND."
26,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2A.  QUY ĐỊNH VỀ TK TRỰC TUYẾN 
7. KH chấp nhận rằng bất kỳ hành động đăng ký mở TK trực tuyến bằng việc cung cấp hình ảnh 
các giấy tờ tùy thân của KH cá nhân/người đại diện hợp pháp của KH tổ chức, cung cấp thông 
tin yêu cầu kê khai và yếu tố sinh trắc học đáp ứng quy định của Sacombank cùng với việc 
KH nhập đúng OTP được gửi đến số điện thoại đã đăng ký hoặc sử dụng chữ ký số thì được 
xem là do chính KH đăng ký dịch vụ và phải chịu mọi rủi ro (nếu có) liên quan đến việc đăng 
ký. "
27,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
1. KH có các quyền sau: 
a. Sử dụng số tiền trên TK của mình trong phạm vi số dư được phép sử dụng và đúng mục 
đích thu chi của loại hình TK để thực hiện các lệnh thanh toán hợp pháp, hợp lệ. KH được 
Sacombank tạo điều kiện để sử dụng TK của mình thuận tiện và an toàn. 
b. Lựa chọn và thỏa thuận sử dụng các phương tiện thanh toán, dịch vụ và tiện ích thanh toán 
do Sacombank cung ứng. 
c.  Ủy quyền cho người khác sử dụng TK theo quy định tại Hợp đồng này và quy định pháp 
luật.  
d. Yêu  cầu  Sacombank  thực  hiện  các  lệnh  thanh  toán  hợp  pháp,  hợp  lệ  và được  cung  cấp 
thông  tin  về  số  dư và  các  giao  dịch  phát  sinh  trên  TK  của  mình  theo  thỏa  thuận  với 
Sacombank. 
e. Được yêu cầu Sacombank phong tỏa, chấm dứt phong tỏa, đóng TK khi cần thiết; gửi thông 
báo cho Sacombank về việc phát sinh tranh chấp về TK chung giữa các chủ TK chung. 
f.  Được nhận thông tin quảng cáo qua email, số điện thoại đã đăng ký với Sacombank về tất 
cả các sản phẩm, dịch vụ, chương trình khuyến mại và chương trình hoạt động khác của 
Sacombank  bằng thư điện  tử,  tin  nhắn,  gọi điện  thoại và các  phương thức  khác  do 
Sacombank áp dụng trong từng thời kỳ. 
g. Được yêu cầu Sacombank hướng dẫn quản lý, sử dụng TK an toàn và giải đáp, xử lý các 
thắc mắc, khiếu nại trong quá trình mở và sử dụng TK. 
h. Các quyền khác theo Hợp đồng này, quy định của pháp luật và theo thỏa thuận trước bằng 
văn bản giữa KH với Sacombank không trái với quy định của pháp luật hiện hành."
28,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
1. KH có các quyền sau: 
a. Sử dụng số tiền trên TK của mình trong phạm vi số dư được phép sử dụng và đúng mục 
đích thu chi của loại hình TK để thực hiện các lệnh thanh toán hợp pháp, hợp lệ. KH được 
Sacombank tạo điều kiện để sử dụng TK của mình thuận tiện và an toàn. 
b. Lựa chọn và thỏa thuận sử dụng các phương tiện thanh toán, dịch vụ và tiện ích thanh toán 
do Sacombank cung ứng. 
c.  Ủy quyền cho người khác sử dụng TK theo quy định tại Hợp đồng này và quy định pháp 
luật.  
d. Yêu  cầu  Sacombank  thực  hiện  các  lệnh  thanh  toán  hợp  pháp,  hợp  lệ  và được  cung  cấp 
thông  tin  về  số  dư và  các  giao  dịch  phát  sinh  trên  TK  của  mình  theo  thỏa  thuận  với 
Sacombank. 
e. Được yêu cầu Sacombank phong tỏa, chấm dứt phong tỏa, đóng TK khi cần thiết; gửi thông 
báo cho Sacombank về việc phát sinh tranh chấp về TK chung giữa các chủ TK chung. 
f.  Được nhận thông tin quảng cáo qua email, số điện thoại đã đăng ký với Sacombank về tất 
cả các sản phẩm, dịch vụ, chương trình khuyến mại và chương trình hoạt động khác của 
Sacombank  bằng thư điện  tử,  tin  nhắn,  gọi điện  thoại và các  phương thức  khác  do 
Sacombank áp dụng trong từng thời kỳ. 
g. Được yêu cầu Sacombank hướng dẫn quản lý, sử dụng TK an toàn và giải đáp, xử lý các 
thắc mắc, khiếu nại trong quá trình mở và sử dụng TK. 
h. Các quyền khác theo Hợp đồng này, quy định của pháp luật và theo thỏa thuận trước bằng 
văn bản giữa KH với Sacombank không trái với quy định của pháp luật hiện hành."
29,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
a. Đảm bảo duy trì các điều kiện mở TK trong suốt quá trình mở và sử dụng TK theo quy định 
tại Hợp đồng này bao gồm đảm bảo Giấy tờ pháp lý trong hồ sơ mở TK phải còn hiệu lực 
trong suốt quá trình mở và sử dụng TK.  
b. Đảm bảo có đủ tiền trên TK để thực hiện các lệnh thanh toán đã lập. Trường hợp có thỏa 
thuận thấu chi với Sacombank thì phải thực hiện các nghĩa vụ liên quan khi chi trả vượt 
quá số dư Có trên TK. 
c.  Thực hiện đúng, đầy đủ các điều kiện, quy trình đối với các dịch vụ thanh toán theo hướng 
dẫn của Sacombank phù hợp với quy định của pháp luật.  
d. Chấp hành các quy định về mở và sử dụng TK tại Hợp đồng này và quy định pháp luật. 
e. Đảm bảo mẫu dấu đăng ký và giao dịch với Sacombank là mẫu dấu còn hiệu lực và khớp 
đúng với mẫu dấu được lưu giữ, sử dụng tại doanh nghiệp hoặc mẫu dẫu đã đăng ký/thông 
báo với cơ quan thẩm quyền theo quy định pháp luật. Tự chịu mọi trách nhiệm về việc mẫu 
dấu, chữ ký khi giao dịch với Sacombank bị lợi dụng, giả mạo mà không phải do lỗi của 
Sacombank. 
f.  Đảm bảo các giao dịch thu, chi trên TK là hợp pháp, phù hợp với quy định của pháp luật 
ngoại hối, pháp luật Việt Nam và sẽ xuất trình các hồ sơ, chứng từ liên quan đến các giao 
dịch phát sinh trên TK bất cứ khi nào Sacombank yêu cầu. Trường hợp sử dụng TK để phục 
vụ việc theo dõi các khoản tiền ký quỹ, đảm bảo khả năng thanh toán và các mục đích khác 
theo quy định pháp luật, KH tự chịu trách nhiệm đảm bảo sử dụng TK phù hợp với quy 
định pháp luật có liên quan."
30,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
g. Đăng ký chữ  ký  Kế  toán trưởng/Người  phụ  trách  kế  toán  khi  giao  dịch  với  Sacombank 
trong trường hợp KH (tổ chức) thuộc đối tượng bắt buộc bổ nhiệm Kế toán trưởng theo 
quy định pháp luật. Trường hợp đăng ký thông tin Người đại diện chủ TK là Người đại diện 
theo pháp luật kiêm nhiệm Người phụ trách kế toán, KH cam kết: 
(i) Là doanh nghiệp đáp ứng các tiêu chí là doanh nghiệp siêu nhỏ theo quy định pháp 
luật và đang áp dụng chế độ kế toán đơn giản. 
(ii) Người đại diện theo pháp luật đáp ứng các điều kiện, tiêu chuẩn của người phụ trách 
kế toán và không thuộc các trường hợp khác về việc không được làm kế toán theo quy 
định pháp luật. 
(iii)  Người đại diện theo pháp luật khi ký chứng từ giao dịch với ngân hàng được hiểu là 
ký với vai trò duyệt và kiểm soát chứng từ theo quy định pháp luật. 
(iv)  Không được  ủy  quyền  cho  cùng  một người để  đồng  thời  ký  duyệt  và  ký  kiểm  soát 
chứng từ. 
(v) Tự chịu trách nhiệm liên quan đến việc sử dụng các nội dung đăng ký này để cung cấp 
dịch vụ cho KH.  
h. Trường hợp KH có thuê người lao động nước ngoài thì KH phải có trách nhiệm tuân thủ 
quy định pháp luật lao động đối với người lao động là người nước ngoài, bao gồm nhưng 
không giới hạn việc chi lương bằng ngoại tệ và/hoặc bằng đồng Việt Nam, bảo đảm Giấy 
phép lao động/Giấy xác nhận người lao động không thuộc diện cấp Giấy phép lao động 
cho người lao động nước ngoài theo quy định của pháp luật và tự chịu mọi trách nhiệm 
đối với các vấn đề phát sinh có liên quan. 
i.  Hoàn trả vô điều kiện các khoản tiền do sai sót, nhầm lẫn đã ghi Có vào TK của mình, các 
khoản tiền mà KH rút thừa, rút quá số dư theo đề nghị của Sacombank,  ngân hàng, chi 
nhánh ngân hàng nước ngoài phục vụ bên chuyển tiền. "
31,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
j.  Cung cấp trung thực, đầy đủ, rõ ràng, chính xác, hợp pháp các thông tin, tài liệu trong hồ 
sơ mở và sử dụng TK, chứng từ giao dịch và các thông tin, tài liệu cập nhật, bổ sung mà 
KH  cung  cấp  cho  Sacombank.  Thông  báo  kịp  thời  và  gửi  các  giấy  tờ  liên  quan  cho 
Sacombank khi giấy tờ pháp lý trong hồ sơ mở TK hết hiệu lực/hết giá trị sử dụng hoặc khi 
có sự thay đổi về thông tin trong hồ sơ mở TK hoặc khi có yêu cầu của Sacombank và hoàn 
toàn  chịu  trách  nhiệm  về  những  rủi ro phát sinh trong trường  hợp  cung  cấp,  cập  nhật 
thông tin không đầy đủ, chính xác, kịp thời cho Sacombank và những thiệt hai do sai sót 
của mình gây ra. 
k. Trường hợp khai báo thông tin là doanh nghiệp siêu nhỏ, KH (tổ chức) cam kết đáp ứng 
đầy đủ các tiêu chí xác định là doanh nghiệp siêu nhỏ được áp dụng chế độ kế toán đơn 
giản theo quy định pháp luật và phải thông báo ngay cho Sacombank khi có sự thay đổi 
về quy mô và chế độ kế toán áp dụng (không còn là doanh nghiệp siêu nhỏ áp dụng chế 
độ kế toán đơn giản) hoặc theo yêu cầu của Sacombank gửi đến KH).  
l.  Duy trì số dư tối thiểu trên TK theo quy định của Sacombank. 
m. Chịu mọi trách nhiệm về hành vi cung cấp tài liệu hồ sơ gian lận, giả mạo liên quan đến 
mở, sử dụng TK và nguồn gốc số tiền sử dụng trên TK. 
n. Chịu trách nhiệm về những thiệt hại do sai sót hoặc bị lợi dụng, lừa đảo khi sử dụng dịch 
vụ thanh toán qua TK do lỗi của mình. "
32,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
o. Không được thực hiện các hành vi sau đây: 
(i) Mở hoặc duy trì tài khoản thanh toán nặc danh, mạo danh, tài khoản vô danh hoặc sử 
dụng tên giả. 
(ii) Mua bán, thuê, cho thuê, mượn, cho mượn TK; lấy cắp, thông đồng để lấy cắp, mua 
bán thông tin TK của mình; đứng tên hộ người khác để mở TK hay đăng ký dịch vụ 
ngân hàng điện tử; cho phép người khác sử dụng các thông tin để truy cập, đăng nhập, 
xác thực dịch vụ ngân hàng điện tử để sử dụng TK của mình. 
(iii)  Sử dụng TK để thực hiện các giao dịch mà theo quy định pháp luật bắt buộc phải thực 
hiện thông qua TK vốn đầu tư trực tiếp, TK vốn đầu tư gián tiếp, tài khoản đảm bảo 
thanh toán của dịch vụ trung gian thanh toán hoặc các loại TK chuyên dùng khác. 
(iv)  Thực hiện, tổ chức thực hiện hoặc tạo điều kiện cho người khác thực hiện các hành vi: 
Sử dụng, lợi dụng TK, phương tiện thanh toán, dịch vụ thanh toán cho mục đích rửa 
tiền, tài trợ khủng bố, tài trợ phổ biến vũ khí hủy diệt hàng loạt, lừa đảo, gian lận, kinh 
doanh trái pháp luật (như kinh doanh hàng hóa, dịch vụ bị pháp luật cấm hoặc dịch vụ 
thuộc ngành nghề kinh doanh có điều kiện mà không có giấy phép/đáp ứng đủ điều 
kiện theo quy định pháp luật, đánh bạc, tổ chức đánh bạc, tín dụng đen, tiền ảo,...) và 
các hành vi vi phạm pháp luật khác. 
(v) Xâm nhập hoặc tìm cách xâm nhập, đánh cắp dữ liệu, phá hoại, làm thay đổi trái phép 
chương trình phần  mềm,  dữ  liệu điện  tử  sử  dụng  trong  thanh  toán;  lợi  dụng  lỗi  hệ 
thống mạng máy tính để trục lợi. 
(vi)  Sửa chữa, tẩy xóa phương tiện thanh toán, chứng từ thanh toán không đúng quy định 
pháp  luật;  làm  giả  phương tiện  thanh  toán, chứng  từ  thanh toán; lưu giữ, lưu hành, 
chuyển nhượng, sử dụng phương tiện thanh toán giả. 
(vii) Cam kết không có tài khoản thanh toán tại Sacombank cho các bên có quyền, nghĩa 
vụ  liên quan theo quy định  của  pháp  luật  về  giải  ngân  vốn  cho  vay  của  tổ  chức  tín 
dụng, chi nhánh ngân hàng nước ngoài. 
(viii)  Các hành vi bị cấm, vi phạm pháp luật khác. "
